Name	Description (optional)	Latitude	Longitude	Type	Type code	Comment
Avail Hotel and Suite		21.6121900	39.1551020	Hotel	666	
Best Western Orchid hotel		24.6851230	46.7186120	Hotel	666	
Four Seasons		24.7110580	46.6735570	Hotel	666	
Four Seasons		24.7110510	46.6738920	Hotel	666	
Habitat Hotel		21.6069150	39.1565700	Hotel	666	
Hilton		21.6044500	39.1072080	Hotel	666	
Holiday Inn - Intercontinental		21.5159030	39.1561620	Hotel	666	
Holiday Inn Jeddah Al Salam		21.4843920	39.2079770	Hotel	666	
Intercontinental		21.3713440	40.4615750	Hotel	666	
Le Meridien		21.5589620	39.2079770	Hotel	666	
Marriott Jeddah		21.5318740	39.1952360	Hotel	666	
Park Hyatt Hotel		21.5133740	39.1549840	Hotel	666	
Radisson Blu Royal Suites		21.5495380	39.1896060	Hotel	666	
Ramada		21.3644850	40.2677310	Hotel	666	
Riyadh Marriott hotel		24.6867140	46.7131300	Hotel	666	
Rosewood Al Faisaliyah hotel		24.6895090	46.6849350	Hotel	666	
Rosewood Hotel		21.5763910	39.1103780	Hotel	666	
Sheraton Towers		24.7274490	46.6651270	Hotel	666	
Sultan		21.6083300	39.1420900	Hotel	666	
Summer resort	Higher elevation than Ta'if	21.0806960	40.3152730	Hotel	666	
19. Century Burger	A good local burger restaurant	21.6414706	39.1302160	Restaurant	667	
Abo Yasser restaurant	African restaurant in an area with many other african restaurants	21.4777281	39.1899502	Restaurant	667	
Alfairwz restaurant	A turkish restaurant	21.6093990	39.1305579	Restaurant	667	
Applebee's	Restaurant	21.6465800	39.1315840	Restaurant	667	
Aseil	A traditional saudi restaurant	21.5593291	39.1412087	Restaurant	667	
Asia restaurant	Thai food, recommended. 012 6828525 	21.5806080	39.1614760	Restaurant	667	
Brasa de Brazil	Brasilian style barbeque. Meat buffet with a very large variety of different meats to try out.	21.5193840	39.1649320	Restaurant	667	
Broast chicken carry-out		22.2862910	39.1120830	Restaurant	667	
Chicken	Grilled rotisserie, comes with a huge plate of rice and salad	22.2873120	39.1132050	Restaurant	667	
Dar Al-Hekma University		21.4784720	39.2109180	Restaurant	667	
Effat University		21.4784720	39.2109180	Restaurant	667	
Fish restaurant		21.7180730	39.1039580	Restaurant	667	
Goodies	A good food market type restaurant, large dessers/sweets selection. In Stars Avenue Mall.	21.5729500	39.1273080	Restaurant	667	
Goodies	A good food market type restaurant, large dessers/sweets selection. In Coral Mall.	21.5502480	39.1631320	Restaurant	667	
Koreana restaurant	In a residential area and thus hard to find. Call 660-4769 if lost.	21.5353660	39.1653370	Restaurant	667	
Makkah restaurant	Indian restaurant in a traditional area	21.5014506	39.1906515	Restaurant	667	
Mayrig restaurant		21.5434890	39.1729890	Restaurant	667	
Old fish restaurant	Pick your fish from a selection of choices and have them cook it for you.	22.2900940	39.1161930	Restaurant	667	
Pakistani restaurant	Greag fresh-baked naan.	22.2882230	39.1145060	Restaurant	667	
Palm Garden restaurant		39.1118610	21.5645390	Restaurant	667	
Piatto (Etoile Center)		21.5750540	39.1272770	Restaurant	667	
Reem Alwabadi	A middle eastern restaurant	21.5579117	39.1450330	Restaurant	667	
Restaurant		21.2873250	40.4229970	Restaurant	667	
Rotisserie chicken carry-out	Rotisserie chiken 22SAR for a whole chicken, rice and arabic bread	22.2870180	39.1135030	Restaurant	667	
Sahareej Adan	Yemeni restaurant	21.6122717	39.1439582	Restaurant	667	
Sahareej Aden Yemini Restaurant	The best Yemeni restaurant I have been to in Jeddah. The food is incredible! -Sameed	21.5785710	39.1993060	Restaurant	667	
Sakura	A japanese restaurant	21.5168508	39.1558114	Restaurant	667	
Seafood restaurant		21.5882150	39.1057400	Restaurant	667	
Shada Indian Restaurant	Favoured by locals	21.5540400	39.2105400	Restaurant	667	
Shish Tawook	Delicious Shish Tawook, 4SAR each	22.2912430	39.1161930	Restaurant	667	
